id,date,days_from_start,title_hebrew,description_hebrew,source,category,stance,could_have_ended,show
"23","2024-05-14","220","עצרת ההתנחלות בשדרות","בן גביר קרא ב""עצרת של 50000 איש"" ל""חזרה לעזה עכשיו"" ו""עידוד הגירה וולונטרית"" של תושבי עזה","https://www.timesofisrael.com/ministers-call-for-resettling-gazas-palestinians-building-settlements-in-strip/","extremist_statement","extreme","no","hide"
"24","2024-05-28","234","צה""ל השתלט על ציר פילדלפי","צה""ל הודיע כי השתלט מבצעית על כל ציר פילדלפי, רצועת החיץ לאורך גבול עזה-מצרים, במטרה לחסום הברחות נשק.","https://www.timesofisrael.com/idf-says-it-has-taken-control-of-entire-philadelphi-corridor-separating-gaza-and-egypt/","military_operation","high","no","hide"
"25","2024-05-29","235","שליטה על ציר פילדלפי","Control of Gaza-Egypt border corridor; tunnel neutralization","https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-05-29-24/index.html","military","","no","show"
"26","2024-06-01","238","סמוטריץ ובן גביר מאיימים לעזוב בגלל הצעת ביידן","שני השרים הבטיחו להפיל את הממשלה אם תקבל את הצעת הפסקת האש של ביידן","https://www.cnn.com/2024/06/02/middleeast/israeli-ministers-biden-ceasefire-plan-intl/index.html","coalition_threat","critical","no","show"
"27","2024-07-22","289","התקדמות טנקים לבני סוהילה","Deepest documented penetration in southern Gaza urban zone","https://en.wikipedia.org/wiki/22_July_2024_Khan_Yunis_attack","military","","no","show"
"28","2024-07-25","292","הצהרות שר המורשת על מחיקת עזה","אמיחי אליהו הצהיר ""הממשלה דוהרת קדימה שעזה תימחק ברוך השם כל עזה תהיה יהודית""","https://www.timesofisrael.com/far-right-minister-says-israel-pushing-to-wipe-out-gaza-will-make-it-jewish/","extremist_statement","extreme","no","show"
"29","2024-09-15","344","בן גביר איים על הסכם לבנון","בן גביר איים להפסיק לשתף פעולה עם הקואליציה בגלל הפסקת אש עם חזבאללה","https://www.jpost.com","coalition_threat","extreme","no","show"
"30","2024-09-23","352","הפצצה אווירית מסיבית בלבנון","Preparation for ground operations and weakening Hezbollah infrastructure","https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)","military","","no","show"
"31","2024-10-01","360","פשיטות קרקעיות מוגבלות בלבנון","First ground incursions with 45,000 troops deployed","https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)","military","","no","show"
"32","2024-10-07","366","הנפת דגל ישראל במרון א-ראס","Village-level control and symbolic presence","https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)","military","","no","show"
"33","2024-10-16","375","חיסול סינוואר כהזדמנות לתמונת ניצחון","חיסולו של יחיא סינוואר יצר חלון דיפלומטי פוטנציאלי לסיום המלחמה ושחרור החטופים לפי הערכות בינלאומיות","https://www.cbsnews.com/news/israel-yahya-sinwar-hamas-gaza-war-killed-in-rafah-operation/","hamas_leader_death","high","yes","show"
"34","2024-10-21","380","כנס התיישבות שני בגבול עזה","שרים בכירים קראו להתיישבות יהודית בעזה ולעידוד הגירת פלסטינים","https://www.timesofisrael.com/government-ministers-call-for-new-settlements-in-gaza-at-ultranationalist-conference/","extremist_statement","extreme","no","show"
"35","2024-11-26","415","הגעת צה"ל לנהר הליטני","Strategic depth in Lebanon with major territorial control gains","https://www.timesofisrael.com/idf-troops-reach-litani-river-first-time-since-2000/","military","","no","show"
"36","2024-11-27","416","הסכם הפסקת אש עם לבנון","Start of operational de-escalation and peacekeeping deployment","UNIFIL Statement","military","","yes","show"
"37","2024-12-15","435","הקלות חמאס במו""מ","חמאס ריכך את עמדתו המשא ומתן וויתר על דרישות להפסקת אש מלאה ונסיגה ישראלית","https://www.wsj.com","ceasefire_proposal","medium","yes","show"
"38","2024-12-15","435","בן גביר מודה בחסימת עסקאות","בן גביר הודה פומבית ""בשנה האחרונה דרך הכוח הפוליטי הצלחנו למנוע את הקדמת העסקה פעם אחר פעם""","https://www.jpost.com/breaking-news/article-837448","political_admission","extreme","no","show"
"39","2025-01-15","465","הסכם הפסקת האש הסופי","הסכם מקיף בן שלושה שלבים שהוכרז על ידי ארה""ב קטר וחמאס אחרי 15 חודשי סכסוך","https://www.timesofisrael.com/after-15-months-of-war-israel-and-hamas-agree-to-a-ceasefire-hostage-release-deal/","ceasefire_deal","successful","ended_war","show"
"40","2025-01-16","466","בן גביר עוזב את הממשלה","מפלגת עוצמה יהודית של בן גביר יצאה רשמית מהקואליציה לאחר אישור הסכם הפסקת האש","https://www.timesofisrael.com/ben-gvir-says-party-to-quit-government-if-cabinet-approves-hostage-ceasefire-deal/","coalition_departure","extreme","actual","show"
"41","2025-01-18","468","סמוטריץ מקבל הבטחות להמשך המלחמה","סמוטריץ נשאר בקואליציה אחרי שקיבל התחייבות שהמלחמה תמשיך והשתלטות הדרגתית על עזה","https://www.middleeasteye.net/news/smotrich-received-assurances-israel-continue-war-take-control-gaza","political_manipulation","extreme","no","show"
"42","2025-01-26","476","נסיגה חלקית מלבנון","Continued strategic presence in southern Lebanon","UNIFIL Statement","military","","no","show"
"43","2025-03-18","527","מבצע 'מרכבות גדעון'","Renewed offensive with territorial occupation goals","https://acleddata.com/2025/05/29/qa-what-do-israels-shifting-tactics-in-gaza-tell-us-about-whats-ahead/","military","","no","show"
"44","2025-05-01","571","שליטה ב-40% מעזה, מטרה ל-75%","Large-scale territorial control and civilian concentration plan","https://www.timesofisrael.com/idf-aims-to-capture-75-of-gaza-strip-in-2-months-in-new-offensive-against-hamas/","military","","no","show"
